CC,feature,URB,shap_value,fold
301015,ASE,2,-0.0,0
301015,ASE,3,-0.0,0
301015,ASE,4,-0.0,0
301015,ASE,5,-0.0,0
301019,CSS,1,0.26377301507186196,0
301019,CSS,2,0.22205798045926226,0
301019,CSS,3,-0.7868683771032348,0
301019,CSS,4,0.20218295646223955,0
301019,CSS,5,0.09885442510987315,0
301019,CFS,1,-0.06258280162428789,0
301019,CFS,2,0.07127054407761195,0
301019,CFS,3,-0.2122381445531793,0
301019,CFS,4,0.04152180742233522,0
301019,CFS,5,0.16202859467752107,0
301019,CPE,1,0.041096057041677306,0
301019,CPE,2,0.014295279640003992,0
301019,CPE,3,-0.10838721431412209,0
301019,CPE,4,0.005722479736800439,0
301019,CPE,5,0.04727339789564012,0
301019,LIN,1,0.1260364863421757,0
301019,LIN,2,0.1296541249749983,0
301019,LIN,3,-0.13523624927440625,0
301019,LIN,4,0.027266585530069044,0
301019,LIN,5,-0.14772094757283727,0
301019,LEX,1,0.025198110983757308,0
301019,LEX,2,-0.16722033954630575,0
301019,LEX,3,0.02580041015663667,0
301019,LEX,4,0.22266204087910807,0
301019,LEX,5,-0.1064402224731912,0
301019,DIS_1,1,0.2207147637747583,0
301019,DIS_1,2,-0.9795869042239285,0
301019,DIS_1,3,1.495825395576752,0
301019,DIS_1,4,-0.247927030740207,0
301019,DIS_1,5,-0.48902622438737453,0
301019,DIS_2,1,0.0395373763847419,0
301019,DIS_2,2,-0.020638001058048965,0
301019,DIS_2,3,-0.2509422203908921,0
301019,DIS_2,4,0.03452857059750168,0
301019,DIS_2,5,0.19751427446669723,0
301019,DIS_3,1,-0.2868816075933171,0
301019,DIS_3,2,-0.8890090623240975,0
301019,DIS_3,3,4.268766079077632,0
301019,DIS_3,4,-0.5488036296562198,0
301019,DIS_3,5,-2.5440717795040033,0
301019,VER,1,0.18643918283297886,0
301019,VER,2,0.2775499298709545,0
301019,VER,3,0.05180718698865017,0
301019,VER,4,-0.12260018006842727,0
301019,VER,5,-0.39319611962416184,0
301019,MUR,1,0.007755584620109551,0
301019,MUR,2,0.16357504408880533,0
301019,MUR,3,-0.14777824780579535,0
301019,MUR,4,0.06363030618426807,0
301019,MUR,5,-0.08718268708739016,0
301019,CAD,1,-0.0,0
301019,CAD,2,-0.0,0
301019,CAD,3,-0.0,0
301019,CAD,4,-0.0,0
301019,CAD,5,0.0,0
301019,BOL,1,-0.030094875043432803,0
301019,BOL,2,0.0349475027284344,0
301019,BOL,3,-0.008360987966508832,0
301019,BOL,4,0.027659619798619816,0
301019,BOL,5,-0.02415125951711258,0
301019,ARB,1,-0.3253576935660362,0
301019,ARB,2,-0.1896348163721567,0
301019,ARB,3,0.07764515813395301,0
301019,ARB,4,0.4211439565113927,0
301019,ARB,5,0.01620339529284118,0
301019,CPP,1,0.04025749506762682,0
301019,CPP,2,0.011789044560298381,0
301019,CPP,3,-0.028887521528008647,0
301019,CPP,4,-0.033751390069968856,0
301019,CPP,5,0.010592371970052425,0
301019,PVI,1,-2.4083737248540533,0
301019,PVI,2,-2.9281812598434147,0
301019,PVI,3,0.9449661634379732,0
301019,PVI,4,4.189805954707068,0
301019,PVI,5,0.2017828665524231,0
301019,PBL,1,0.5620550198309934,0
301019,PBL,2,0.10902450962175171,0
301019,PBL,3,0.05735042017048712,0
301019,PBL,4,-0.722883801799337,0
301019,PBL,5,-0.005546147823891673,0
301019,COM,1,0.5463835878077644,0
301019,COM,2,0.061496035268994574,0
301019,COM,3,0.14319422019220732,0
301019,COM,4,-0.20189288070611905,0
301019,COM,5,-0.549180962562855,0
301019,COMS,1,-0.14217616485543205,0
301019,COMS,2,0.1626461465060114,0
301019,COMS,3,-0.21823024945307173,0
301019,COMS,4,0.18141890388032142,0
301019,COMS,5,0.016341363922164447,0
301019,PPU,1,0.16403372148481288,0
301019,PPU,2,0.11159624926248583,0
301019,PPU,3,-0.17296261373687236,0
301019,PPU,4,0.14110633224836225,0
301019,PPU,5,-0.24377368925878867,0
301019,PRE,1,0.018269023496310613,0
301019,PRE,2,-0.013836847603026987,0
301019,PRE,3,-0.018593921062874982,0
301019,PRE,4,0.0007817607288837521,0
301019,PRE,5,0.013379984440707829,0
301019,PPR,1,1.0627997597241652,0
301019,PPR,2,0.0878793227545514,0
301019,PPR,3,1.3962934289529787,0
301019,PPR,4,-0.2922615495481672,0
301019,PPR,5,-2.2547109618835424,0
301019,GSE,1,-0.00825585693494548,0
301019,GSE,2,0.07873760218085886,0
301019,GSE,3,-0.005352039014628321,0
301019,GSE,4,0.0016957094729688205,0
301019,GSE,5,-0.0668254157042541,0
301019,CSE,1,-0.8599094763554886,0
301019,CSE,2,0.2339710095509644,0
301019,CSE,3,-0.1220392172202722,0
301019,CSE,4,0.6881199602470217,0
301019,CSE,5,0.05985772377777048,0
301019,BSE,1,-0.050770805991125885,0
301019,BSE,2,-0.01595498924798496,0
301019,BSE,3,0.04785428346186062,0
301019,BSE,4,0.014191846802553414,0
301019,BSE,5,0.004679664974696965,0
301019,ASE,1,0.0,0
301019,ASE,2,-0.0,0
301019,ASE,3,-0.0,0
301019,ASE,4,-0.0,0
301019,ASE,5,-0.0,0
301020,CSS,1,0.26377301507186196,0
301020,CSS,2,0.22205798045926226,0
301020,CSS,3,-0.7868683771032348,0
301020,CSS,4,0.20218295646223955,0
301020,CSS,5,0.09885442510987315,0
301020,CFS,1,-0.06258280162428789,0
301020,CFS,2,0.07127054407761195,0
301020,CFS,3,-0.2122381445531793,0
301020,CFS,4,0.04152180742233522,0
301020,CFS,5,0.16202859467752107,0
301020,CPE,1,0.041096057041677306,0
301020,CPE,2,0.014295279640003992,0
301020,CPE,3,-0.10838721431412209,0
301020,CPE,4,0.005722479736800439,0
301020,CPE,5,0.04727339789564012,0
301020,LIN,1,0.1260364863421757,0
301020,LIN,2,0.1296541249749983,0
301020,LIN,3,-0.13523624927440625,0
301020,LIN,4,0.027266585530069044,0
301020,LIN,5,-0.14772094757283727,0
301020,LEX,1,0.025198110983757308,0
301020,LEX,2,-0.16722033954630575,0
301020,LEX,3,0.02580041015663667,0
301020,LEX,4,0.22266204087910807,0
301020,LEX,5,-0.1064402224731912,0
301020,DIS_1,1,0.2207147637747583,0
301020,DIS_1,2,-0.9795869042239285,0
301020,DIS_1,3,1.495825395576752,0
301020,DIS_1,4,-0.247927030740207,0
301020,DIS_1,5,-0.48902622438737453,0
301020,DIS_2,1,0.0395373763847419,0
301020,DIS_2,2,-0.020638001058048965,0
301020,DIS_2,3,-0.2509422203908921,0
301020,DIS_2,4,0.03452857059750168,0
301020,DIS_2,5,0.19751427446669723,0
301020,DIS_3,1,-0.2868816075933171,0
301020,DIS_3,2,-0.8890090623240975,0
301020,DIS_3,3,4.268766079077632,0
301020,DIS_3,4,-0.5488036296562198,0
301020,DIS_3,5,-2.5440717795040033,0
301020,VER,1,0.18643918283297886,0
301020,VER,2,0.2775499298709545,0
301020,VER,3,0.05180718698865017,0
301020,VER,4,-0.12260018006842727,0
301020,VER,5,-0.39319611962416184,0
301020,MUR,1,0.007755584620109551,0
301020,MUR,2,0.16357504408880533,0
301020,MUR,3,-0.14777824780579535,0
301020,MUR,4,0.06363030618426807,0
301020,MUR,5,-0.08718268708739016,0
301020,CAD,1,-0.0,0
301020,CAD,2,-0.0,0
301020,CAD,3,-0.0,0
301020,CAD,4,-0.0,0
301020,CAD,5,0.0,0
301020,BOL,1,-0.030094875043432803,0
301020,BOL,2,0.0349475027284344,0
301020,BOL,3,-0.008360987966508832,0
301020,BOL,4,0.027659619798619816,0
301020,BOL,5,-0.02415125951711258,0
301020,ARB,1,-0.3253576935660362,0
301020,ARB,2,-0.1896348163721567,0
301020,ARB,3,0.07764515813395301,0
301020,ARB,4,0.4211439565113927,0
301020,ARB,5,0.01620339529284118,0
301020,CPP,1,0.04025749506762682,0
301020,CPP,2,0.011789044560298381,0
301020,CPP,3,-0.028887521528008647,0
301020,CPP,4,-0.033751390069968856,0
301020,CPP,5,0.010592371970052425,0
301020,PVI,1,-2.4083737248540533,0
301020,PVI,2,-2.9281812598434147,0
301020,PVI,3,0.9449661634379732,0
301020,PVI,4,4.189805954707068,0
301020,PVI,5,0.2017828665524231,0
301020,PBL,1,0.5620550198309934,0
301020,PBL,2,0.10902450962175171,0
301020,PBL,3,0.05735042017048712,0
301020,PBL,4,-0.722883801799337,0
301020,PBL,5,-0.005546147823891673,0
301020,COM,1,-0.3642557252051763,0
301020,COM,2,-0.04099735684599639,0
301020,COM,3,-0.09546281346147156,0
301020,COM,4,0.13459525380407938,0
301020,COM,5,0.36612064170857006,0
301020,COMS,1,-0.14217616485543205,0
301020,COMS,2,0.1626461465060114,0
301020,COMS,3,-0.21823024945307173,0
301020,COMS,4,0.18141890388032142,0
301020,COMS,5,0.016341363922164447,0
301020,PPU,1,0.16403372148481288,0
301020,PPU,2,0.11159624926248583,0
301020,PPU,3,-0.17296261373687236,0
301020,PPU,4,0.14110633224836225,0
301020,PPU,5,-0.24377368925878867,0
301020,PRE,1,0.018269023496310613,0
301020,PRE,2,-0.013836847603026987,0
301020,PRE,3,-0.018593921062874982,0
301020,PRE,4,0.0007817607288837521,0
301020,PRE,5,0.013379984440707829,0
301020,PPR,1,1.0627997597241652,0
301020,PPR,2,0.0878793227545514,0
301020,PPR,3,1.3962934289529787,0
301020,PPR,4,-0.2922615495481672,0
301020,PPR,5,-2.2547109618835424,0
301020,GSE,1,-0.00825585693494548,0
301020,GSE,2,0.07873760218085886,0
301020,GSE,3,-0.005352039014628321,0
301020,GSE,4,0.0016957094729688205,0
301020,GSE,5,-0.0668254157042541,0
301020,CSE,1,-0.8599094763554886,0
301020,CSE,2,0.2339710095509644,0
301020,CSE,3,-0.1220392172202722,0
301020,CSE,4,0.6881199602470217,0
301020,CSE,5,0.05985772377777048,0
301020,BSE,1,-0.050770805991125885,0
301020,BSE,2,-0.01595498924798496,0
301020,BSE,3,0.04785428346186062,0
301020,BSE,4,0.014191846802553414,0
301020,BSE,5,0.004679664974696965,0
301020,ASE,1,0.0,0
301020,ASE,2,-0.0,0
301020,ASE,3,-0.0,0
301020,ASE,4,-0.0,0
301020,ASE,5,-0.0,0
301012,CSS,1,0.26377301507186196,0
301012,CSS,2,0.22205798045926226,0
301012,CSS,3,-0.7868683771032348,0
301012,CSS,4,0.20218295646223955,0
301012,CSS,5,0.09885442510987315,0
301012,CFS,1,-0.06258280162428789,0
301012,CFS,2,0.07127054407761195,0
301012,CFS,3,-0.2122381445531793,0
301012,CFS,4,0.04152180742233522,0
301012,CFS,5,0.16202859467752107,0
301012,CPE,1,0.041096057041677306,0
301012,CPE,2,0.014295279640003992,0
301012,CPE,3,-0.10838721431412209,0
301012,CPE,4,0.005722479736800439,0
301012,CPE,5,0.04727339789564012,0
301012,LIN,1,0.1260364863421757,0
301012,LIN,2,0.1296541249749983,0
301012,LIN,3,-0.13523624927440625,0
301012,LIN,4,0.027266585530069044,0
301012,LIN,5,-0.14772094757283727,0
301012,LEX,1,0.025198110983757308,0
301012,LEX,2,-0.16722033954630575,0
301012,LEX,3,0.02580041015663667,0
301012,LEX,4,0.22266204087910807,0
301012,LEX,5,-0.1064402224731912,0
301012,DIS_1,1,0.2207147637747583,0
301012,DIS_1,2,-0.9795869042239285,0
301012,DIS_1,3,1.495825395576752,0
301012,DIS_1,4,-0.247927030740207,0
301012,DIS_1,5,-0.48902622438737453,0
301012,DIS_2,1,0.0395373763847419,0
301012,DIS_2,2,-0.020638001058048965,0
301012,DIS_2,3,-0.2509422203908921,0
301012,DIS_2,4,0.03452857059750168,0
301012,DIS_2,5,0.19751427446669723,0
301012,DIS_3,1,-0.2868816075933171,0
301012,DIS_3,2,-0.8890090623240975,0
301012,DIS_3,3,4.268766079077632,0
301012,DIS_3,4,-0.5488036296562198,0
301012,DIS_3,5,-2.5440717795040033,0
301012,VER,1,0.18643918283297886,0
301012,VER,2,0.2775499298709545,0
301012,VER,3,0.05180718698865017,0
301012,VER,4,-0.12260018006842727,0
301012,VER,5,-0.39319611962416184,0
301012,MUR,1,0.007755584620109551,0
301012,MUR,2,0.16357504408880533,0
301012,MUR,3,-0.14777824780579535,0
301012,MUR,4,0.06363030618426807,0
301012,MUR,5,-0.08718268708739016,0
301012,CAD,1,-0.0,0
301012,CAD,2,-0.0,0
301012,CAD,3,-0.0,0
301012,CAD,4,-0.0,0
301012,CAD,5,0.0,0
301012,BOL,1,-0.030094875043432803,0
301012,BOL,2,0.0349475027284344,0
301012,BOL,3,-0.008360987966508832,0
301012,BOL,4,0.027659619798619816,0
301012,BOL,5,-0.02415125951711258,0
301012,ARB,1,0.1531095028546053,0
301012,ARB,2,0.08923991358689728,0
301012,ARB,3,-0.036538897945389656,0
301012,ARB,4,-0.19818539129947893,0
301012,ARB,5,-0.007625127196631145,0
301012,CPP,1,0.04025749506762682,0
301012,CPP,2,0.011789044560298381,0
301012,CPP,3,-0.028887521528008647,0
301012,CPP,4,-0.033751390069968856,0
301012,CPP,5,0.010592371970052425,0
301012,PVI,1,0.640200610404242,0
301012,PVI,2,0.7783772969204014,0
301012,PVI,3,-0.2511935371164232,0
301012,PVI,4,-1.1137458866942838,0
301012,PVI,5,-0.05363848351393525,0
301012,PBL,1,-4.547536069541674,0
301012,PBL,2,-0.8821073960305366,0
301012,PBL,3,-0.46401703592485033,0
301012,PBL,4,5.848787123649181,0
301012,PBL,5,0.04487337784785081,0
301012,COM,1,-0.3642557252051763,0
301012,COM,2,-0.04099735684599639,0
301012,COM,3,-0.09546281346147156,0
301012,COM,4,0.13459525380407938,0
301012,COM,5,0.36612064170857006,0
301012,COMS,1,-0.14217616485543205,0
301012,COMS,2,0.1626461465060114,0
301012,COMS,3,-0.21823024945307173,0
301012,COMS,4,0.18141890388032142,0
301012,COMS,5,0.016341363922164447,0
